iter	MultiClass
971	0.003360679073
972	0.003360370827
973	0.003360255256
974	0.003359821869
975	0.003359581764
976	0.00335943387
977	0.003359079043
978	0.003358514592
979	0.003358230613
980	0.003357948144
981	0.003357683173
982	0.003356824971
983	0.003354668928
984	0.003354164241
985	0.003353850073
986	0.003353542083
987	0.003353132838
988	0.003352756706
989	0.003352545205
990	0.003351073726
991	0.003350390662
992	0.003349878494
993	0.003349690929
994	0.003349004328
995	0.003348809167
996	0.003348659729
997	0.003347946635
998	0.003347673907
999	0.003347436728
